epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8764,0.91073,5.47211,1.03166,0,0,0,0,0,0.84578,4.7792,0.90317,6.90278e-05,6.90278e-05,6.90278e-05
2,71.6698,0.8636,4.94795,0.92586,0.02122,0.07395,0.01721,0.01721,0.01239,0.88948,4.29419,0.8699,0.000139335,0.000139335,0.000139335
3,97.2438,0.88445,4.63925,0.92863,0.03146,0.62778,0.07259,0.06428,0.05379,0.79485,3.6842,0.87069,0.000208939,0.000208939,0.000208939
4,122.704,0.88074,4.19935,0.935,0.56753,0.14025,0.19327,0.1791,0.13799,0.99556,3.06101,0.93695,0.000209837,0.000209837,0.000209837
5,148.181,0.83387,3.6691,0.92271,0.42946,0.37082,0.34709,0.33767,0.27614,0.79208,2.48585,0.90721,0.000208783,0.000208783,0.000208783
6,173.579,0.83292,3.241,0.94172,0.49611,0.3374,0.39027,0.36633,0.29382,0.97287,2.35092,0.98981,0.000207728,0.000207728,0.000207728
7,198.855,0.79427,3.0225,0.93964,0.70865,0.33339,0.46673,0.46221,0.37371,0.82963,1.92388,0.96021,0.000206674,0.000206674,0.000206674
8,224.256,0.81095,2.81029,0.93714,0.62147,0.38658,0.46385,0.44913,0.37402,0.78801,1.89146,0.95568,0.00020562,0.00020562,0.00020562
9,249.7,0.79151,2.63517,0.92907,0.49027,0.55377,0.54912,0.52933,0.4368,0.8306,1.76705,0.9628,0.000204565,0.000204565,0.000204565
10,275.192,0.78306,2.43605,0.94048,0.53922,0.54507,0.54963,0.5314,0.42545,0.84318,1.74379,0.96727,0.000203511,0.000203511,0.000203511
11,300.778,0.79293,2.27269,0.93559,0.67432,0.5987,0.65529,0.63743,0.52032,0.84844,1.51447,0.98467,0.000202457,0.000202457,0.000202457
12,326.2,0.7664,2.25372,0.92882,0.57319,0.65611,0.64917,0.64305,0.50649,0.89969,1.5823,0.98997,0.000201402,0.000201402,0.000201402
13,351.533,0.78149,2.08466,0.93707,0.71884,0.61109,0.73935,0.72464,0.58908,0.84433,1.45329,0.95524,0.000200348,0.000200348,0.000200348
14,377.145,0.75466,1.97529,0.9208,0.6161,0.72083,0.72731,0.72543,0.59259,0.76038,1.3843,0.94404,0.000199293,0.000199293,0.000199293
15,402.585,0.75981,1.91942,0.93615,0.58367,0.73077,0.75372,0.74953,0.62246,0.72037,1.37328,0.93114,0.000198239,0.000198239,0.000198239
16,428.18,0.72612,1.84431,0.91858,0.71028,0.69511,0.78435,0.77955,0.63236,0.79203,1.3481,0.95606,0.000197185,0.000197185,0.000197185
17,453.54,0.75514,1.74562,0.93026,0.61429,0.69956,0.71723,0.70527,0.57991,0.79908,1.42524,0.94938,0.00019613,0.00019613,0.00019613
18,478.968,0.71175,1.6654,0.92294,0.7347,0.72775,0.81492,0.8091,0.662,0.76127,1.24412,0.94716,0.000195076,0.000195076,0.000195076
19,504.417,0.74373,1.59599,0.92535,0.70095,0.78714,0.80988,0.80757,0.67989,0.70137,1.10098,0.92721,0.000194022,0.000194022,0.000194022
20,529.841,0.72185,1.54228,0.92144,0.7837,0.71441,0.80532,0.79853,0.66154,0.74578,1.15501,0.9405,0.000192967,0.000192967,0.000192967
21,555.225,0.71506,1.55469,0.92567,0.7893,0.79383,0.84941,0.8443,0.6824,0.80328,1.09829,0.96031,0.000191913,0.000191913,0.000191913
22,580.656,0.70753,1.52286,0.91566,0.77188,0.78711,0.83757,0.8314,0.69516,0.73952,1.17128,0.93681,0.000190859,0.000190859,0.000190859
23,606.241,0.69561,1.46803,0.9085,0.79193,0.81189,0.85942,0.85691,0.7253,0.69747,1.07384,0.9296,0.000189804,0.000189804,0.000189804
24,631.842,0.6935,1.43932,0.91183,0.75765,0.80066,0.82707,0.82313,0.69888,0.7224,1.23352,0.9311,0.00018875,0.00018875,0.00018875
25,657.252,0.69342,1.3931,0.90394,0.85384,0.75064,0.86507,0.86085,0.70936,0.7834,1.11654,0.95503,0.000187696,0.000187696,0.000187696
26,682.652,0.679,1.37226,0.90432,0.89645,0.71967,0.88999,0.8821,0.71258,0.85692,1.00561,0.98346,0.000186641,0.000186641,0.000186641
27,708.226,0.68605,1.26195,0.91181,0.89125,0.7145,0.82485,0.82054,0.64868,0.88477,1.16068,0.9972,0.000185587,0.000185587,0.000185587
28,733.599,0.71592,1.29848,0.92272,0.88017,0.74803,0.86861,0.86472,0.72317,0.75797,0.98688,0.94183,0.000184533,0.000184533,0.000184533
29,759.108,0.67973,1.2556,0.90154,0.85638,0.7556,0.87825,0.87614,0.7583,0.63279,0.94596,0.90154,0.000183478,0.000183478,0.000183478
30,784.685,0.67332,1.22802,0.91123,0.86475,0.71711,0.85901,0.85605,0.76244,0.58978,0.95614,0.89737,0.000182424,0.000182424,0.000182424
31,810.256,0.67483,1.22938,0.91244,0.78209,0.85515,0.89862,0.89862,0.77592,0.6568,0.89132,0.91712,0.000181369,0.000181369,0.000181369
32,835.663,0.6569,1.21758,0.90934,0.84842,0.75616,0.86053,0.85669,0.75175,0.64238,0.94479,0.90769,0.000180315,0.000180315,0.000180315
33,861.241,0.65925,1.18249,0.90644,0.784,0.80918,0.86161,0.85874,0.72108,0.73727,0.95873,0.93791,0.000179261,0.000179261,0.000179261
34,886.801,0.64894,1.16461,0.90374,0.85046,0.79057,0.86208,0.85793,0.71525,0.7292,0.83468,0.93753,0.000178206,0.000178206,0.000178206
35,912.31,0.65696,1.13791,0.90196,0.89108,0.80209,0.87599,0.8686,0.74034,0.70818,0.84861,0.93321,0.000177152,0.000177152,0.000177152
36,937.696,0.67239,1.1077,0.90272,0.90346,0.77229,0.87014,0.86618,0.75324,0.64623,0.87188,0.91616,0.000176098,0.000176098,0.000176098
37,963.133,0.64699,1.08228,0.89854,0.77814,0.80251,0.86308,0.85368,0.75751,0.60386,0.8553,0.90882,0.000175043,0.000175043,0.000175043
38,988.684,0.65156,1.10178,0.90249,0.80235,0.81162,0.86457,0.85664,0.74893,0.64831,0.85229,0.92968,0.000173989,0.000173989,0.000173989
39,1014.14,0.64149,1.06212,0.90032,0.78667,0.87108,0.86578,0.85735,0.74973,0.64856,0.77776,0.92719,0.000172935,0.000172935,0.000172935
40,1039.57,0.62102,1.04782,0.89197,0.86954,0.84474,0.90647,0.90215,0.77411,0.64218,0.81227,0.9174,0.00017188,0.00017188,0.00017188
41,1065.07,0.60739,1.02523,0.88536,0.85507,0.80907,0.85055,0.84735,0.73803,0.61522,0.8489,0.91564,0.000170826,0.000170826,0.000170826
42,1090.7,0.63936,0.99206,0.88275,0.92696,0.72493,0.88732,0.88422,0.76609,0.68065,0.82554,0.92739,0.000169772,0.000169772,0.000169772
43,1116.08,0.61324,0.98713,0.90026,0.84158,0.79515,0.86937,0.86548,0.74761,0.63702,0.93501,0.9134,0.000168717,0.000168717,0.000168717
44,1141.22,0.61472,1.00649,0.88748,0.677,0.8805,0.84234,0.83575,0.73063,0.66618,0.86406,0.92773,0.000167663,0.000167663,0.000167663
