epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.839,0.08012,0.14234,0.93867,0.99065,0.97891,0.99217,0.9902,0.1573,0.27192,0.55506,0.0670819,0.000332506,0.000332506
2,316.959,0.08566,0.15326,0.93369,0.99414,0.98635,0.99139,0.99089,0.16896,0.32715,0.57474,0.0340803,0.000664235,0.000664235
3,471.601,0.0936,0.15499,0.9385,0.96836,0.97641,0.98623,0.98574,0.20506,0.4032,0.63057,0.00107228,0.000989566,0.000989566
4,626.386,0.09593,0.16998,0.94466,0.98519,0.99132,0.99363,0.99089,0.17196,0.27652,0.59024,0.000978465,0.000978465,0.000978465
5,780.964,0.09776,0.16796,0.94473,0.98966,0.98759,0.99091,0.9902,0.16461,0.36736,0.5657,0.00096196,0.00096196,0.00096196
6,935.284,0.09511,0.16778,0.94064,0.98746,0.97998,0.99015,0.98968,0.17629,0.26638,0.58537,0.000941051,0.000941051,0.000941051
7,1089.73,0.09662,0.16832,0.94258,0.99088,0.98487,0.99109,0.99063,0.16857,0.19766,0.57512,0.000915967,0.000915967,0.000915967
8,1244.38,0.09602,0.16687,0.94162,0.98813,0.98478,0.9896,0.98929,0.19228,0.37091,0.64364,0.000886984,0.000886984,0.000886984
9,1406.64,0.0947,0.16706,0.94279,0.98612,0.98139,0.98943,0.98839,0.16886,0.21482,0.57582,0.000854417,0.000854417,0.000854417
10,1576.06,0.09586,0.17125,0.94034,0.9932,0.97995,0.99128,0.99052,0.17908,0.21469,0.60169,0.000818626,0.000818626,0.000818626
11,1743.4,0.0907,0.15348,0.94102,0.98498,0.98063,0.99181,0.98881,0.16007,0.2071,0.56265,0.00078,0.00078,0.00078
12,1910.42,0.09188,0.15234,0.94138,0.98356,0.98668,0.99032,0.98903,0.17472,0.28388,0.58919,0.000738964,0.000738964,0.000738964
13,2075.42,0.08884,0.1486,0.94277,0.9665,0.97152,0.98877,0.97999,0.23539,0.31703,0.70887,0.000695967,0.000695967,0.000695967
14,2247.35,0.08941,0.1554,0.93885,0.99151,0.98635,0.99084,0.99031,0.15559,0.3558,0.55942,0.000651481,0.000651481,0.000651481
15,2419.67,0.08998,0.15074,0.94051,0.98687,0.98387,0.99113,0.99005,0.15891,0.32368,0.56672,0.000605993,0.000605993,0.000605993
16,2591.97,0.08699,0.15215,0.93906,0.98896,0.98635,0.99013,0.98983,0.17167,0.36758,0.58899,0.00056,0.00056,0.00056
17,2763.98,0.08519,0.15069,0.93382,0.99181,0.98,0.99272,0.99082,0.14952,0.31016,0.54855,0.000514007,0.000514007,0.000514007
18,2935.97,0.08519,0.1422,0.93667,0.98393,0.98585,0.98885,0.98836,0.15819,0.39859,0.57151,0.000468519,0.000468519,0.000468519
19,3108.02,0.08744,0.15282,0.93311,0.98907,0.97891,0.99035,0.9894,0.16988,0.24722,0.57815,0.000424033,0.000424033,0.000424033
20,3279.95,0.08192,0.14849,0.93423,0.98938,0.98351,0.99079,0.99041,0.1575,0.23519,0.56237,0.000381036,0.000381036,0.000381036
21,3452.35,0.04711,0.06707,0.93653,0.9938,0.97891,0.99343,0.99178,0.15436,0.2515,0.5466,0.00034,0.00034,0.00034
22,3623.92,0.0469,0.06459,0.93399,0.98297,0.97599,0.99184,0.98977,0.15428,0.279,0.55097,0.000301374,0.000301374,0.000301374
23,3795.56,0.04524,0.06064,0.93826,0.98777,0.97891,0.99184,0.98901,0.16584,0.31607,0.56566,0.000265583,0.000265583,0.000265583
24,3967.27,0.04536,0.06104,0.93543,0.98898,0.97891,0.9911,0.98989,0.14814,0.22525,0.543,0.000233016,0.000233016,0.000233016
25,4138.99,0.04325,0.0586,0.93154,0.99252,0.97307,0.98894,0.98781,0.15053,0.24307,0.54474,0.000204033,0.000204033,0.000204033
26,4310.62,0.04397,0.05866,0.93063,0.98799,0.98359,0.99066,0.99061,0.14633,0.22696,0.53623,0.000178949,0.000178949,0.000178949
27,4482.22,0.04235,0.05564,0.93436,0.98889,0.98139,0.99122,0.99038,0.15202,0.30849,0.54424,0.00015804,0.00015804,0.00015804
28,4653.98,0.04192,0.06089,0.93497,0.98817,0.98511,0.99046,0.99016,0.14984,0.30392,0.53955,0.000141535,0.000141535,0.000141535
29,4825.57,0.04123,0.05569,0.93371,0.99073,0.97891,0.9906,0.99015,0.15178,0.32958,0.54343,0.000129615,0.000129615,0.000129615
30,4997.26,0.03979,0.05526,0.93626,0.98952,0.98107,0.99076,0.99017,0.15216,0.3461,0.54325,0.00012241,0.00012241,0.00012241
