epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.101,0.07843,0.13287,0.93643,0.98895,0.97675,0.99195,0.99008,0.15271,0.30129,0.54874,0.0670819,0.000332506,0.000332506
2,307.814,0.08112,0.13963,0.93058,0.98864,0.98483,0.99094,0.99081,0.15542,0.22254,0.54831,0.0340803,0.000664235,0.000664235
3,461.086,0.08688,0.13356,0.93397,0.98747,0.98199,0.99142,0.99079,0.15365,0.34012,0.55745,0.00107228,0.000989566,0.000989566
4,614.375,0.08989,0.14972,0.94054,0.99005,0.98865,0.99055,0.98972,0.18981,0.33898,0.62052,0.000978465,0.000978465,0.000978465
5,767.89,0.09199,0.14746,0.94016,0.9558,0.95295,0.98601,0.98481,0.2183,0.29887,0.65323,0.00096196,0.00096196,0.00096196
6,921.371,0.09014,0.14908,0.93716,0.98987,0.98015,0.99074,0.99047,0.22019,0.44064,0.64961,0.000941051,0.000941051,0.000941051
7,1075.12,0.09101,0.15373,0.93939,0.98576,0.97882,0.98778,0.98751,0.19784,0.28187,0.60998,0.000915967,0.000915967,0.000915967
8,1228.87,0.08934,0.14637,0.9371,0.99047,0.97891,0.99273,0.9918,0.19483,0.37169,0.61972,0.000886984,0.000886984,0.000886984
9,1382.59,0.08742,0.14584,0.9376,0.99014,0.98387,0.99125,0.99024,0.1715,0.29194,0.57961,0.000854417,0.000854417,0.000854417
10,1536.21,0.08841,0.15181,0.93623,0.99017,0.97973,0.99081,0.9895,0.16535,0.20316,0.57389,0.000818626,0.000818626,0.000818626
11,1689.85,0.08371,0.13354,0.93669,0.98781,0.98263,0.99022,0.98926,0.15299,0.24663,0.55211,0.00078,0.00078,0.00078
12,1843.52,0.08505,0.13518,0.93735,0.99535,0.97071,0.99202,0.98973,0.17359,0.31158,0.57962,0.000738964,0.000738964,0.000738964
13,1997.12,0.08387,0.1322,0.94051,0.98631,0.98609,0.98867,0.98782,0.19778,0.38122,0.61036,0.000695967,0.000695967,0.000695967
14,2150.84,0.08377,0.14102,0.93558,0.99005,0.98848,0.99164,0.99136,0.16399,0.3733,0.5653,0.000651481,0.000651481,0.000651481
15,2304.51,0.08448,0.13646,0.93767,0.98393,0.97933,0.99055,0.98925,0.15655,0.23518,0.55169,0.000605993,0.000605993,0.000605993
16,2458.18,0.08097,0.13851,0.93534,0.98997,0.98759,0.99025,0.98959,0.15927,0.32121,0.56752,0.00056,0.00056,0.00056
17,2611.79,0.08065,0.13279,0.93105,0.99132,0.98121,0.99113,0.99007,0.15778,0.20966,0.55542,0.000514007,0.000514007,0.000514007
18,2765.43,0.0805,0.13034,0.93399,0.98705,0.97891,0.99084,0.98913,0.16459,0.26926,0.5729,0.000468519,0.000468519,0.000468519
19,2918.99,0.08207,0.1379,0.92959,0.9875,0.98718,0.99028,0.98985,0.15915,0.28053,0.55349,0.000424033,0.000424033,0.000424033
20,3072.75,0.07772,0.13618,0.93074,0.98753,0.97687,0.99139,0.98959,0.15526,0.27748,0.54856,0.000381036,0.000381036,0.000381036
21,3226.56,0.04474,0.05868,0.93447,0.98615,0.9836,0.99107,0.98998,0.1524,0.20166,0.54281,0.00034,0.00034,0.00034
22,3379.61,0.04522,0.05954,0.93317,0.9851,0.98377,0.99092,0.98962,0.15662,0.20867,0.55185,0.000301374,0.000301374,0.000301374
23,3532.65,0.04425,0.0567,0.93715,0.98976,0.97585,0.99151,0.98958,0.17273,0.19022,0.57037,0.000265583,0.000265583,0.000265583
24,3685.75,0.04304,0.05466,0.93312,0.99083,0.97737,0.99029,0.98967,0.15442,0.22825,0.54877,0.000233016,0.000233016,0.000233016
25,3838.91,0.04176,0.05386,0.92987,0.9823,0.97286,0.98649,0.98515,0.15908,0.28603,0.55367,0.000204033,0.000204033,0.000204033
26,3991.95,0.04319,0.05484,0.92944,0.98968,0.98548,0.99153,0.99124,0.1569,0.29769,0.54805,0.000178949,0.000178949,0.000178949
27,4144.92,0.04109,0.05183,0.93267,0.98854,0.98139,0.99138,0.99063,0.15324,0.29297,0.54606,0.00015804,0.00015804,0.00015804
28,4297.92,0.04079,0.0568,0.93342,0.98833,0.97906,0.99199,0.99065,0.15973,0.29472,0.55315,0.000141535,0.000141535,0.000141535
29,4450.99,0.03979,0.0509,0.9326,0.98987,0.97894,0.99081,0.9901,0.1532,0.29096,0.54628,0.000129615,0.000129615,0.000129615
30,4603.93,0.03846,0.05037,0.93538,0.98616,0.97907,0.99025,0.98944,0.15557,0.31929,0.55199,0.00012241,0.00012241,0.00012241
